external_urls,followers,genres,href,id,images,name,popularity,type,uri
{'spotify': 'https://open.spotify.com/artist/6USv9qhCn6zfxlBQIYJ9qs'},"{'href': None, 'total': 1704199}","['alternative pop rock', 'pov: indie']",https://api.spotify.com/v1/artists/6USv9qhCn6zfxlBQIYJ9qs,6USv9qhCn6zfxlBQIYJ9qs,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebb62462a1a43ff08f8a982791', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174b62462a1a43ff08f8a982791', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178b62462a1a43ff08f8a982791', 'width': 160}]",Dominic Fike,77,artist,spotify:artist:6USv9qhCn6zfxlBQIYJ9qs
{'spotify': 'https://open.spotify.com/artist/4SpbR6yFEvexJuaBpgAU5p'},"{'href': None, 'total': 5193751}",['k-pop girl group'],https://api.spotify.com/v1/artists/4SpbR6yFEvexJuaBpgAU5p,4SpbR6yFEvexJuaBpgAU5p,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb73f96bdf146d008680149954', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517473f96bdf146d008680149954', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17873f96bdf146d008680149954', 'width': 160}]",LE SSERAFIM,77,artist,spotify:artist:4SpbR6yFEvexJuaBpgAU5p
{'spotify': 'https://open.spotify.com/artist/4xPQFgDA5M2xa0ZGo5iIsv'},"{'href': None, 'total': 604833}",[],https://api.spotify.com/v1/artists/4xPQFgDA5M2xa0ZGo5iIsv,4xPQFgDA5M2xa0ZGo5iIsv,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebf4e11052613eb67c380adaf8', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174f4e11052613eb67c380adaf8', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178f4e11052613eb67c380adaf8', 'width': 160}]",¥$,77,artist,spotify:artist:4xPQFgDA5M2xa0ZGo5iIsv
{'spotify': 'https://open.spotify.com/artist/7CajNmpbOovFoOoasH2HaY'},"{'href': None, 'total': 22563894}","['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']",https://api.spotify.com/v1/artists/7CajNmpbOovFoOoasH2HaY,7CajNmpbOovFoOoasH2HaY,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb37bff6aa1d42bede9048750f', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517437bff6aa1d42bede9048750f', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17837bff6aa1d42bede9048750f', 'width': 160}]",Calvin Harris,84,artist,spotify:artist:7CajNmpbOovFoOoasH2HaY
{'spotify': 'https://open.spotify.com/artist/0iEtIxbK0KxaSlF7G42ZOp'},"{'href': None, 'total': 8224467}",['rap'],https://api.spotify.com/v1/artists/0iEtIxbK0KxaSlF7G42ZOp,0iEtIxbK0KxaSlF7G42ZOp,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebdf9a1555f53a20087b8c5a5c', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174df9a1555f53a20087b8c5a5c', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178df9a1555f53a20087b8c5a5c', 'width': 160}]",Metro Boomin,89,artist,spotify:artist:0iEtIxbK0KxaSlF7G42ZOp
{'spotify': 'https://open.spotify.com/artist/6Ip8FS7vWT1uKkJSweANQK'},"{'href': None, 'total': 4858844}",['uk hip hop'],https://api.spotify.com/v1/artists/6Ip8FS7vWT1uKkJSweANQK,6Ip8FS7vWT1uKkJSweANQK,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5ebd03e9ecf77419871b96daee1', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174d03e9ecf77419871b96daee1', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178d03e9ecf77419871b96daee1', 'width': 160}]",Dave,75,artist,spotify:artist:6Ip8FS7vWT1uKkJSweANQK
{'spotify': 'https://open.spotify.com/artist/6EPlBSH2RSiettczlz7ihV'},"{'href': None, 'total': 1967379}","['brooklyn drill', 'nyc rap']",https://api.spotify.com/v1/artists/6EPlBSH2RSiettczlz7ihV,6EPlBSH2RSiettczlz7ihV,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb85563828c7493e4edf175379', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517485563828c7493e4edf175379', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17885563828c7493e4edf175379', 'width': 160}]",Sleepy Hallow,74,artist,spotify:artist:6EPlBSH2RSiettczlz7ihV
{'spotify': 'https://open.spotify.com/artist/0fA0VVWsXO9YnASrzqfmYu'},"{'href': None, 'total': 7034654}","['hip hop', 'ohio hip hop', 'pop rap', 'rap']",https://api.spotify.com/v1/artists/0fA0VVWsXO9YnASrzqfmYu,0fA0VVWsXO9YnASrzqfmYu,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb876faa285687786c3d314ae0', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab67616100005174876faa285687786c3d314ae0', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f178876faa285687786c3d314ae0', 'width': 160}]",Kid Cudi,77,artist,spotify:artist:0fA0VVWsXO9YnASrzqfmYu
{'spotify': 'https://open.spotify.com/artist/5pKCCKE2ajJHZ9KAiaK11H'},"{'href': None, 'total': 60120719}","['barbadian pop', 'pop', 'urban contemporary']",https://api.spotify.com/v1/artists/5pKCCKE2ajJHZ9KAiaK11H,5pKCCKE2ajJHZ9KAiaK11H,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb99e4fca7c0b7cb166d915789', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517499e4fca7c0b7cb166d915789', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17899e4fca7c0b7cb166d915789', 'width': 160}]",Rihanna,88,artist,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
{'spotify': 'https://open.spotify.com/artist/13ubrt8QOOCPljQ2FL1Kca'},"{'href': None, 'total': 14137178}","['east coast hip hop', 'hip hop', 'rap']",https://api.spotify.com/v1/artists/13ubrt8QOOCPljQ2FL1Kca,13ubrt8QOOCPljQ2FL1Kca,"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb5c58c41a506a0d6b32cc6cad', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab676161000051745c58c41a506a0d6b32cc6cad', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f1785c58c41a506a0d6b32cc6cad', 'width': 160}]",A$AP Rocky,82,artist,spotify:artist:13ubrt8QOOCPljQ2FL1Kca
